submodel,outcome,species,predictor,estimate,std_dev,lower95,upper95
growth,growthz,NA,Intercept,0.020734106,0.092824992,-0.129321848,0.155887843
beetle,feng,NA,Intercept,-1.1406358,0.199677356,-1.466622547,-0.810102573
beetle,pmpb,NA,Intercept,-5.20363798,0.627489568,-6.328974144,-4.273043019
beetle,pjpb,NA,Intercept,-3.112545706,0.579486378,-4.157908229,-2.321662173
beetle,prtb,NA,Intercept,-3.349937075,0.237762566,-3.747781978,-2.972696053
dens,nsm,NA,treatbc,-0.554825201,0.227114633,-0.914499037,-0.178980544
dens,nsm,NA,treatbn,0.192660784,0.228097922,-0.170292616,0.556640122
dens,nsm,NA,treatbs,-1.186198141,0.25488106,-1.599218726,-0.772925213
dens,nsm,NA,treatuc,0.277154857,0.223393308,-0.082518825,0.632228198
dens,nsm,NA,treatun,0.107903647,0.223994899,-0.269878179,0.469502996
dens,nsm,NA,treatus,-0.417437197,0.224100639,-0.772539399,-0.047624171
dens,nlg,NA,treatbc,-0.719347327,0.103877427,-0.888854969,-0.548640281
dens,nlg,NA,treatbn,0.514131469,0.102372344,0.34460746,0.68289587
dens,nlg,NA,treatbs,-1.037177665,0.116672298,-1.228661064,-0.847284904
dens,nlg,NA,treatuc,-0.474772727,0.101779483,-0.638533957,-0.304285098
dens,nlg,NA,treatun,0.518897762,0.103083399,0.351196075,0.687182564
dens,nlg,NA,treatus,-0.747128163,0.107999307,-0.922318384,-0.574113249
dens,nbaenghost,NA,treatbc,-0.912422211,0.203637903,-1.245129487,-0.584898637
dens,nbaenghost,NA,treatbn,0.255414481,0.198500546,-0.068415621,0.575682734
dens,nbaenghost,NA,treatbs,-1.168167831,0.228634267,-1.525975433,-0.784715825
dens,nbaenghost,NA,treatuc,-0.009573661,0.19864264,-0.338916299,0.323047797
dens,nbaenghost,NA,treatun,0.365945918,0.198930949,0.055397493,0.684523689
dens,nbaenghost,NA,treatus,-0.572499664,0.196810079,-0.890812176,-0.241171707
dens,nbaengother,NA,treatbc,0.001042898,0.281020342,-0.461442373,0.453341191
dens,nbaengother,NA,treatbn,0.418203236,0.27920742,-0.032839521,0.88115703
dens,nbaengother,NA,treatbs,-0.433031616,0.316312659,-0.963435295,0.075148353
dens,nbaengother,NA,treatuc,-0.142284772,0.277992225,-0.599750224,0.326041526
dens,nbaengother,NA,treatun,-0.128044335,0.273272203,-0.571947567,0.325880092
dens,nbaengother,NA,treatus,-0.287143036,0.277368946,-0.740873571,0.16406656
dens,nbartbhost,NA,treatbc,-0.472593732,0.171001695,-0.749200672,-0.192012954
dens,nbartbhost,NA,treatbn,0.187872154,0.173588172,-0.091484265,0.459806364
