"plot","species","treat","burned","dmort","dbh_l","growth_z","n_size1_l","n_lg_l","f_eng","p_mpb","p_jpb","p_rtb","twi","srad","nba_eng_hl","nba_eng_nl","nba_rtb_hl","nba_rtb_nl","nba_mpb_hl","nba_mpb_nl","nba_jpb_hl","nba_jpb_nl"
"bc1","abco","bc",1,0,2.69462718077007,-0.0910049727831801,2.56494935746154,2.07944154167984,1,0,0,0,4.61620692247019,1589239.89257188,-0.134229399717661,-0.96396190407369,-6.90775527898214,0.226950981125481,-6.90775527898214,0.226950981125481,-6.90775527898214,0.226950981125481
"bc1","abco","bc",1,0,3.16124671203156,0.0858869846121255,2.63905732961526,2.19722457733622,0,0,0,0,3.47045650774506,1665459.10071656,-0.170497444902116,-4.87347073940517,-6.90775527898214,-0.162645968861051,-6.90775527898214,-0.162645968861051,-6.90775527898214,-0.162645968861051
"bc1","cade","bc",1,0,3.03974915897077,0.6278704,0,0.693147180559945,0,0,0,0,3.03480925824907,1700900.81984127,-2.59008398622416,-6.90775527898214,-6.90775527898214,-2.59008398622416,-6.90775527898214,-2.59008398622416,-6.90775527898214,-2.59008398622416
"bc1","abco","bc",1,0,3.29212628660779,0.355779452405405,2.484906649788,2.07944154167984,0,0,0,0,3.73356510827336,1674990.79472843,-0.321237783247659,-4.87347073940517,-6.90775527898214,-0.312114723994954,-6.90775527898214,-0.312114723994954,-6.90775527898214,-0.312114723994954
"bc1","abco","bc",1,1,2.89591193827178,-0.82333193519992,2.484906649788,2.19722457733622,1,0,0,0,3.78046521167212,1676576.74920886,-0.241307142995924,-4.87347073940519,-6.90775527898214,-0.23288197003609,-6.90775527898214,-0.23288197003609,-6.90775527898214,-0.23288197003609
"bc1","abco","bc",1,1,3.38099467434464,0.479050244995302,2.56494935746154,2.07944154167984,1,0,0,0,3.71032397099247,1672656.05466238,-0.296454679224957,-4.87347073940517,-6.90775527898214,-0.287553948126719,-6.90775527898214,-0.287553948126719,-6.90775527898214,-0.287553948126719
"bc1","abco","bc",1,0,3.3357695763397,0.196565303011873,2.63905732961526,2.07944154167984,0,0,0,0,3.81977099889344,1676650.26567524,-0.288589900803269,-3.13246012942827,-3.29782166681895,-0.279758590441293,-6.90775527898214,-0.233282507634793,-3.29782166681895,-0.279758590441293
"bc1","abco","bc",1,0,3.18635263316264,-0.193717666516378,2.56494935746154,2.19722457733622,0,0,0,0,3.74858676893696,1677346.49402866,-0.26743875560684,-3.13246012942827,-3.29782166681895,-0.258791479172645,-6.90775527898214,-0.21325809905076,-3.29782166681895,-0.258791479172645
"bc1","abco","bc",1,0,2.9704144655697,-0.19616151893007,2.56494935746154,2.19722457733622,0,0,0,0,3.77888758952105,1678092.16455696,-0.246583023834557,-3.13246012942827,-3.29782166681895,-0.238113471406459,-6.90775527898214,-0.193491480970814,-3.29782166681895,-0.238113471406459
"bc1","abco","bc",1,1,3.44361809754611,0.136242216348722,2.70805020110221,2.19722457733622,1,0,0,0,3.94664640472339,1685467.22324281,-0.184014700433022,-3.13246012942827,-3.29782166681895,-0.176056797481888,-6.90775527898214,-0.134064160691658,-3.29782166681895,-0.176056797481888
"bc1","cade","bc",1,0,2.21920348405499,-0.7909119,2.63905732961526,2.30258509299405,0,0,0,0,3.90933424064091,1683725.0047619,-0.0955657196718559,-3.29782166681895,-3.29782166681895,-0.0955657196718559,-6.90775527898214,-0.0567584870683806,-3.29782166681895,-0.0955657196718559
"bc1","abco","bc",1,1,2.24070968927596,-0.757865697061733,2.63905732961526,2.30258509299405,1,0,0,0,3.92234932157559,1683061.72244409,-0.103229766206487,-3.13246012942827,-3.29782166681895,-0.09588719822744,-6.90775527898214,-0.0570677270109469,-3.29782166681895,-0.09588719822744
"bc1","abco","bc",1,1,2.14006616349627,-0.792486199941453,2.63905732961526,2.30258509299405,1,0,0,0,3.92478432321245,1684095.08359873,-0.101828054042251,-3.13246012942827,-3.29782166681895,-0.0944957334058514,-6.90775527898214,-0.0557292076771012,-3.29782166681895,-0.0944957334058514
"bc1","abco","bc",1,1,3.39785848039664,0.645006435195956,2.70805020110221,2.19722457733622,0,0,0,0,3.94555244544824,1688499.31948882,-0.175959408845598,-3.13246012942827,-3.29782166681895,-0.16806510028545,-6.90775527898214,-0.126399851195828,-3.29782166681895,-0.16806510028545
"bc1","abco","bc",1,0,3.23080439573347,0.23341566469273,2.70805020110221,2.19722457733622,1,0,0,0,3.94117708267903,1689507.01334951,-0.152461018991785,-3.13246012942827,-3.29782166681895,-0.144749346328732,-6.90775527898214,-0.104025029927116,-3.29782166681895,-0.144749346328732
"bc1","abco","bc",1,0,2.97552956623647,0.0149386087287864,2.89037175789616,2.07944154167984,1,0,0,0,5.123507208462,1608513.74881329,-0.144190414584492,-0.726176033148275,-6.90775527898214,0.298976703363253,-6.90775527898214,0.298976703363253,-6.90775527898214,0.298976703363253
"bc1","cade","bc",1,0,3.17387845893747,0.6647958,0,0,0,0,0,0,3.3989781714621,1705325.6547619,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214
