"plot","cade","abma","abco","pije","pila","abma_abco","pije_pila","species","treat","burned","dmort","dbh_s","growth_z","n_size1_s","n_lg_s","f_eng","p_mpb","p_jpb","p_rtb","nba_eng_hs","nba_eng_ns","nba_rtb_hs","nba_rtb_ns","nba_mpb_hs","nba_mpb_ns","nba_jpb_hs","nba_jpb_ns","twi_s","srad_s","p_rtbmpb","p_rtbjpb"
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,-0.686938113654025,-0.0910049727831801,0.749570057191825,0.744209592531443,1,0,0,0,0.373284441974568,0.493428367170894,-0.999802685644583,0.375615432033186,-0.819107301294472,0.306764819296484,-0.461223196874152,0.212481206283343,2.31465052597384,-0.527683560699421,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,-0.116823088480377,0.0858869846121255,0.832109862302302,0.917222274284302,0,0,0,0,0.35575157320005,-0.878035308806225,-0.999802685644583,0.142761031140092,-0.819107301294472,0.0518169615046266,-0.461223196874152,-0.0320669234745357,-0.231906850115711,0.326660162683609,0,0
"bc1",1,0,0,0,0,0,0,"cade","bc",1,0,-0.265268611826841,0.6278704,-2.10721328109692,-1.29213209096819,0,0,0,0,-0.813936318767487,-1.59166647582598,-0.999802685644583,-1.30807072012939,-0.819107301294472,-1.53667114773399,-0.461223196874152,-1.55575807986024,-1.20018118134804,0.723927610314709,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,0.0430853743148242,0.355779452405405,0.660420276137442,0.744209592531443,0,0,0,0,0.282879970724723,-0.878035308806225,-0.999802685644583,0.0534265088083726,-0.819107301294472,-0.0459937090602266,-0.461223196874152,-0.125887741441663,0.352881196894232,0.433501248421355,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,1,-0.441008706713169,-0.82333193519992,0.660420276137442,0.917222274284302,1,0,0,0,0.321520416314482,-0.87803530880623,-0.999802685644583,0.10078236068257,-0.819107301294472,0.00585531308807303,-0.461223196874152,-0.0761537232547233,0.45712187855973,0.451278266694159,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,1,0.151664633684357,0.479050244995302,0.749570057191825,0.744209592531443,1,0,0,0,0.294860735291585,-0.878035308806225,-0.999802685644583,0.0681059993702595,-0.819107301294472,-0.0299214138496796,-0.461223196874152,-0.110471060679181,0.301225191528037,0.40733106678716,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,0.0964086785427886,0.196565303011873,0.832109862302302,0.744209592531443,0,0,0,0,0.298662763421494,-0.267285234654867,0.17246913661373,0.0727651306690287,-0.819107301294472,0.00559320579293637,1.16635169748577,-0.105577952191472,0.544483350207525,0.45210231529222,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,-0.0861487126801276,-0.193717666516378,0.749570057191825,0.917222274284302,0,0,0,0,0.308887749391202,-0.267285234654867,0.17246913661373,0.0852967588891386,-0.819107301294472,0.0186969533254169,1.16635169748577,-0.0924169973961362,0.386268503826328,0.459906362831741,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,0,-0.349981633519031,-0.19616151893007,0.749570057191825,0.917222274284302,0,0,0,0,0.318969925215685,-0.267285234654867,0.17246913661373,0.0976555956567892,-0.819107301294472,0.0316320056543595,1.16635169748577,-0.079437511477382,0.453615438349142,0.468264609408583,0,0
"bc1",0,0,1,0,0,1,0,"abco","bc",1,1,0.228177835775246,0.136242216348722,0.908952582471905,0.917222274284302,1,0,0,0,0.349216998033132,-0.267285234654867,0.17246913661373,0.134745643791466,-0.819107301294472,0.0705205749822385,1.16635169748577,-0.0404848360322256,0.826478011879217,0.550931895663737,0,0
